latitude,longitude
53.07107546570609,8.785189390182497
53.07031481439622,8.786433935165407
53.071610492053296,8.78787159919739
53.07164332666156,8.788568973541262
53.07126945381321,8.789201974868776
53.070824669817625,8.789330720901491
53.06989641015945,8.78786087036133
53.0697094665578,8.788172006607057
53.06928400568078,8.788268566131594
53.068123636470936,8.786337375640871
53.06757567347656,8.78736734390259
53.06740161318406,8.787785768508913
53.06709217092717,8.787410259246828
53.06651840752641,8.788526058197023
53.06673115215087,8.788923025131227


